Posts,Followers,Following,Sex,Posts of themselves in last 10 posts,Posts in last year
4,957,1537,F,0,0
0,445,442,M,0,0
0,322,365,M,0,0
61,821,810,F,7,2
243,1052,1159,F,9,5
52,1072,1094,F,9,16
53,618,1169,F,8,4
6,620,209,F,0,6
0,614,888,M,0,0
1,788,746,M,0,1
134,1764,1442,F,9,59
6,1248,650,F,0,5
73,800,468,F,9,4
226,1814,1852,F,4,44
52,1094,830,F,10,13
84,837,877,F,8,18
5,520,410,F,0,0
12,497,738,M,8,0
7,1163,852,F,0,7
0,145,221,M,0,0
23,225,332,F,1,0
43,975,880,F,7,15
231,682,608,F,3,15
134,1005,1740,F,10,18
43,598,955,F,8,2
0,603,408,M,0,0
16,907,1232,F,10,1
34,1364,812,F,10,26
71,868,986,F,10,7
45,433,983,F,9,16
50,278,359,F,9,3
44,777,797,F,10,12
86,659,1078,F,7,10
75,789,764,F,10,8
24,815,1257,M,4,2
4,324,818,M,0,0
136,883,1148,F,7,10
1,396,796,M,0,0
42,559,426,M,8,6
12,675,777,F,9,8
18,483,595,F,9,3
149,712,1061,F,10,10
12,638,1054,F,7,0
279,2007,1002,F,10,17
120,1161,1576,F,9,41
358,710,1621,F,10,4
109,1232,907,F,10,9
223,927,749,F,9,8
14,847,1090,F,2,1
43,1313,779,F,9,8
456,480,525,F,7,0
78,1473,4241,M,10,27
229,892,756,F,10,7
88,1065,1192,M,9,2
0,366,497,M,0,0
21,712,928,F,10,1
16,699,1716,F,8,8
3,781,2154,M,0,0
1,1149,2756,M,0,0
26,919,684,F,10,5
32,663,924,F,10,11
11,944,849,F,10,3
57,1017,972,F,9,6
25,1545,1002,F,10,6
70,340,390,F,7,5
217,582,519,F,8,2
215,763,1000,F,8,30
137,538,1017,F,5,8
223,892,555,F,8,17
16,865,1466,F,10,7
36,355,592,F,9,7
434,1234,832,F,4,19
16,730,744,M,10,5
39,652,970,F,8,1
0,316,305,F,0,0
15,434,247,M,10,5
82,1091,1088,M,8,3
38,380,994,F,9,9
213,813,1040,F,10,18
4,575,676,F,0,1
9,778,508,M,0,2
23,1211,851,M,10,13
16,1227,683,M,10,0
1,430,110,F,0,1
54,754,526,M,10,0
33,817,801,F,7,5
5,614,599,F,0,5
84,1318,1304,F,10,8
18,789,1029,F,8,5
46,869,896,F,9,8
88,414,646,F,6,3
111,1535,1222,F,9,11
28,759,999,F,9,1
64,756,751,F,7,1
0,450,3159,F,0,0
8,129,234,F,0,0
9,276,360,M,0,0
24,1928,1005,M,9,2
173,1083,1108,F,10,14
136,686,1150,M,4,3
8,282,1271,M,0,1
22,558,987,F,6,10
29,795,996,F,8,1
16,550,286,M,10,1
110,656,1128,F,8,0
9,270,255,F,0,0
8,395,697,M,0,2
14,435,450,M,7,5
21,288,317,M,10,7
6,1315,604,M,0,1
23,1564,977,M,10,3
14,614,611,M,10,2
4,217,346,M,0,2
54,403,1050,M,3,3
105,1456,841,F,9,16
14,210,1299,F,4,0
18,501,465,F,10,1
7,302,990,F,0,0
139,452,1634,F,7,16
1,402,513,M,0,0
12,303,806,M,8,3
131,445,991,F,3,21
24,306,332,M,2,1
